topic,category,prompt,quality_score
video marketing,Marketing,Provide an overview of video marketing covering the main concepts and how they apply to Marketing.,0.59
affiliate marketing,Marketing,Describe affiliate marketing including its key features benefits and limitations.,0.63
identity crisis,Creative Writing,You are a world-renowned expert in identity crisis. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.85
mental health,General,Give a structured explanation of mental health with clear sections and examples.,0.58
climate change,Science,"As a domain expert, explain climate change thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.83
dystopian society,Creative Writing,Explain dystopian society in detail with examples and practical applications.,0.77
REST API,Coding,Explain REST API for someone with basic knowledge of Coding using clear language.,0.68
video marketing,Marketing,Give a structured explanation of video marketing with clear sections and examples.,0.59
personal finance,General,Explain personal finance in detail with examples and practical applications.,0.59
product launch,Business,Explain product launch in detail with examples and practical applications.,0.65
CRISPR,Science,Act as a thought leader on CRISPR. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.98
customer journey,Marketing,Walk me through customer journey step by step covering the basics and intermediate concepts.,0.65
plate tectonics,Science,help with plate tectonics,0.24
customer journey,Marketing,Act as a seasoned practitioner with 20 years experience in customer journey. Share expert insights common pitfalls best practices and real-world case studies.,0.95
productivity,General,Give a structured explanation of productivity with clear sections and examples.,0.64
black holes,Science,Tell me about black holes,0.27
sorting algorithms,Coding,"As a leading researcher in Coding, analyze sorting algorithms with academic rigor covering methodology findings implications and areas requiring further investigation.",0.85
